,0,1,2,3,4
10,Single-arm palm-in dumbbell shoulder press,Shoulders,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-106d-single-arm-palm-in-dumbbell-shoulder-press-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-106d-single-arm-palm-in-dumbbell-shoulder-press-m2-16x9.jpg,Start by having a dumbbell in one hand with your arm fully extended to the side using a neutral grip. Use your other arm to hold on to an incline bench to keep your balance. Your feet should be shoulder width apart from each other. Now slowly lift the dumbbell up until you create a 90 degree angle with your arm. Note: Your forearm should be perpendicular to the floor. Continue to maintain a neutral grip throughout the entire exercise. Slowly lift the dumbbell up until your arm is fully extended. This the starting position. While inhaling lower the weight down until your arm is at a 90 degree angle again. Feel the contraction for a second and then lift the weight back up towards the starting position while exhaling. Remember to hold on to the incline bench and keep your feet positioned to keep balance during the exercise. Repeat for the recommended amount of repetitions. Switch arms and repeat the exercise.
11,Romanian Deadlift With Dumbbells,Hamstrings,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-9d-dumbbell-stiff-legged-deadlift-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-9d-dumbbell-stiff-legged-deadlift-m2-16x9.jpg,"Begin in a standing position with a dumbbell in each hand. Ensure that your back is straight and stays that way for the duration of the exercise. Allow your arms to hang perpendicular to the floor, with the wrists pronated and the elbows pointed to your sides. This will be your starting position. Initiate the movement by flexing your hips, slowly pushing your butt as far back as you can. This should entail a horizontal movement of the hips, rather than a downward movement. The knees should only partially bend, and your weight should remain on your heels. Drive your butt back as far as you can, which should generate tension in your hamstrings as your hands approach knee level. Maintain an arch in your back throughout the exercise. When your hips cannot perform any further backward movement, pause, and then slowly return to the starting position by extending the hips."
12,Elbow plank,Abdominals,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-222a-elbow-plank-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-222a-elbow-plank-m1-16x9.jpg,"Get into a prone position on the floor, supporting your weight on your toes and your forearms. Your arms are bent and directly below the shoulder. Keep your body straight at all times, and hold this position as long as possible. To increase difficulty, an arm or leg can be raised."
13,Bottoms Up,Abdominals,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-63a-lying-leg-lift-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-63a-lying-leg-lift-m2-16x9.jpg,"Begin by lying on your back on the ground. Your legs should be straight and your arms at your side. This will be your starting position. To perform the movement, tuck the knees toward your chest by flexing the hips and knees. Following this, extend your legs directly above you so that they are perpendicular to the ground. Rotate and elevate your pelvis to raise your glutes from the floor. After a brief pause, return to the starting position."
14,Military press,Shoulders,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-41b-military-press-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-41b-military-press-m2-16x9.jpg,"Start by placing a barbell that is about chest high on a squat rack. Once you have selected the weights, grab the barbell using a pronated (palms facing forward) grip. Make sure to grip the bar wider than shoulder width apart from each other. Slightly bend the knees and place the barbell on your collar bone. Lift the barbell up keeping it lying on your chest. Take a step back and position your feet shoulder width apart from each other. Once you pick up the barbell with the correct grip length, lift the bar up over your head by locking your arms. Hold at about shoulder level and slightly in front of your head. This is your starting position. Lower the bar down to the collarbone slowly as you inhale. Lift the bar back up to the starting position as you exhale. Repeat for the recommended amount of repetitions."
15,Sumo deadlift,Hamstrings,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-58b-sumo-deadlift-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-58b-sumo-deadlift-m2-16x9.jpg,"Begin with a bar loaded on the ground. Approach the bar so that the bar intersects the middle of the feet. The feet should be set very wide, near the collars. Bend at the hips to grip the bar. The arms should be directly below the shoulders, inside the legs, and you can use a pronated grip, a mixed grip, or hook grip. Relax the shoulders, which in effect lengthens your arms. Take a breath, and then lower your hips, looking forward with your head with your chest up. Drive through the floor, spreading your feet apart, with your weight on the back half of your feet. Extend through the hips and knees. As the bar passes through the knees, lean back and drive the hips into the bar, pulling your shoulder blades together. Return the weight to the ground by bending at the hips and controlling the weight on the way down."
16,Dumbbell V-Sit Cross Jab,Abdominals,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-51d-dumbbell-v-sit-cross-jab-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-51d-dumbbell-v-sit-cross-jab-m2-16x9.jpg,"Begin seated on your butt with your knees bent and feet on the ground. Lean your upper body back to form a 45-degree angle with the floor. Bring your feet off the ground so that your body resembles a ""V"" shape. Grasp a dumbbell in each hand and hold tight to your chest with palms facing each other. This will be your starting position. While keeping your core tight and maintaining your body's ""V"" position, quickly extend your left arm straight out (similar to a jab) and then bring it back to the starting position while simultaneously punching out with the right arm. Your torso and legs may slightly rotate side to side opposite of your hands throughout the movementâ€”this is okay. A punch with each hand counts as one total repetition. Repeat for recommended number of repetitions."
17,Standing palms-in shoulder press,Shoulders,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-92d-standing-palms-in-shoulder-press-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-92d-standing-palms-in-shoulder-press-m2-16x9.jpg,Start by having a dumbbell in each hand with your arm fully extended to the side using a neutral grip. Your feet should be shoulder width apart from each other. Now slowly lift the dumbbells up until you create a 90 degree angle with your arms. Note: Your forearms should be perpendicular to the floor. This the starting position. Continue to maintain a neutral grip throughout the entire exercise. Slowly lift the dumbbells up until your arms are fully extended. While inhaling lower the weights down until your arm is at a 90 degree angle again. Repeat for the recommended amount of repetitions.
18,Standing behind-the-back wrist curl,Forearms,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-14b-standing-behind-the-back-wrist-curl-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-14b-standing-behind-the-back-wrist-curl-m2-16x9.jpg,"Start by standing straight and holding a barbell behind your glutes at arm's length while using a pronated grip (palms will be facing back away from the glutes) and having your hands shoulder width apart from each other. You should be looking straight forward while your feet are shoulder width apart from each other. This is the starting position. While exhaling, slowly elevate the barbell up by curling your wrist in a semi-circular motion towards the ceiling. Note: Your wrist should be the only body part moving for this exercise. Hold the contraction for a second and lower the barbell back down to the starting position while inhaling. Repeat for the recommended amount of repetitions. When finished, lower the barbell down to the squat rack or the floor by bending the knees. Tip: It is easiest to either pick it up from a squat rack or have a partner hand it to you."
19,Seated finger curl,Forearms,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-92s-seated-finger-curl-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-92s-seated-finger-curl-m2-16x9.jpg,"Hold a barbell with both hands and your palms facing up; hands spaced about shoulder width. Place your feet flat on the floor, at a distance that is slightly wider than shoulder width apart. This will be your starting position. Lower the bar as far as possible by extending the fingers. Allowing the bar to roll down the hands, catch the bar with the final joint in the fingers. Now curl bar up as high as possible by closing your hands while exhaling. Hold the contraction at the top."
20,Wide-grip barbell curl,Biceps,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-22b-wide-grip-barbell-curl-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-22b-wide-grip-barbell-curl-m2-16x9.jpg,"Stand up with your torso upright while holding a barbell at the wide outer handle. The palm of your hands should be facing forward. The elbows should be close to the torso. This will be your starting position. While holding the upper arms stationary, curl the weights forward while contracting the biceps as you breathe out. Tip: Only the forearms should move. Continue the movement until your biceps are fully contracted and the bar is at shoulder level. Hold the contracted position for a second and squeeze the biceps hard. Slowly begin to bring the bar back to starting position as your breathe in. Repeat for the recommended amount of repetitions."
21,Dumbbell spell caster,Abdominals,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-16d-dumbbell-spell-caster-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-16d-dumbbell-spell-caster-m5-16x9.jpg,"Hold a dumbbell in each hand with a pronated grip. Your feet should be wide with your hips and knees extended. This will be your starting position. Begin the movement by pulling both of the dumbbells to one side next to your hip, rotating your torso. Keeping your arms straight and the dumbbells parallel to the ground, rotate your torso to swing the weights to your opposite side. Continue alternating, rotating from one side to the other until the set is complete."
22,Dumbbell floor press,Triceps,https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-40d-dumbbell-floor-press-m1.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/2019-xdb-40d-dumbbell-floor-press-m2.jpg,"Lay on the floor holding dumbbells in your hands. Your knees can be bent. Begin with the weights fully extended above you. Lower the weights until your upper arm comes in contact with the floor. You can tuck your elbows to emphasize triceps size and strength, or to focus on your chest angle your arms to the side. Pause at the bottom, and then bring the weight together at the top by extending through the elbows."
23,Lying Face Down Plate Neck Resistance,Neck,https://www.bodybuilding.com/exercises/exerciseImages/sequences/25/Male/l/25_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/25/Male/l/25_2.jpg,"Lie face down with your whole body straight on a flat bench while holding a weight plate behind your head. Tip: You will need to position yourself so that your shoulders are slightly above the end of a flat bench in order for the upper chest, neck and face to be off the bench. This will be your starting position. While keeping the plate secure on the back of your head slowly lower your head (as in saying yes) as you breathe in. Raise your head back up to the starting position in a semi-circular motion as you breathe out. Hold the contraction for a second. Repeat for the recommended amount of repetitions."
24,Pullups,Lats,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-92c-pull-up-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-92c-pull-up-m2-16x9.jpg,"Grab the pull-up bar with the palms facing forward using the prescribed grip. Note on grips: For a wide grip, your hands need to be spaced out at a distance wider than your shoulder width. For a medium grip, your hands need to be spaced out at a distance equal to your shoulder width and for a close grip at a distance smaller than your shoulder width. As you have both arms extended in front of you holding the bar at the chosen grip width, bring your torso back around 30 degrees or so while creating a curvature on your lower back and sticking your chest out. This is your starting position. Pull your torso up until the bar touches your upper chest by drawing the shoulders and the upper arms down and back. Exhale as you perform this portion of the movement. Tip: Concentrate on squeezing the back muscles once you reach the full contracted position. The upper torso should remain stationary as it moves through space and only the arms should move. The forearms should do no other work other than hold the bar. After a second on the contracted position, start to inhale and slowly lower your torso back to the starting position when your arms are fully extended and the lats are fully stretched. Repeat this motion for the prescribed amount of repetitions."
25,Dumbbell Bench Press,Chest,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-9e-dumbbell-bench-press-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-9e-dumbbell-bench-press-m2-16x9.jpg,"Lie down on a flat bench with a dumbbell in each hand resting on top of your thighs. The palms of your hands will be facing each other. Then, using your thighs to help raise the dumbbells up, lift the dumbbells one at a time so that you can hold them in front of you at shoulder width. Once at shoulder width, rotate your wrists forward so that the palms of your hands are facing away from you. The dumbbells should be just to the sides of your chest, with your upper arm and forearm creating a 90 degree angle. Be sure to maintain full control of the dumbbells at all times. This will be your starting position. Then, as you breathe out, use your chest to push the dumbbells up. Lock your arms at the top of the lift and squeeze your chest, hold for a second and then begin coming down slowly. Tip: Ideally, lowering the weight should take about twice as long as raising it. Repeat the movement for the prescribed amount of repetitions of your training program."
26,Jumping rope,Quadriceps,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-7s-jumping-rope-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-7s-jumping-rope-m2-16x9.jpg,"Hold an end of the rope in each hand. Position the rope behind you on the ground. Raise your arms up and turn the rope over your head bringing it down in front of you. When it reaches the ground, jump over it. Find a good turning pace that can be maintained. Different speeds and techniques can be used to introduce variation. Rope jumping is exciting, challenges your coordination, and requires a lot of energy. A 150 lb person will burn about 350 calories jumping rope for 30 minutes, compared to over 450 calories running."
27,Seated barbell shoulder press,Shoulders,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-48e-seated-barbell-shoulder-press-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-48e-seated-barbell-shoulder-press-m2-16x9.jpg,"Sit on a Military Press Bench with a bar behind your head and either have a spotter give you the bar (better on the rotator cuff this way) or pick it up yourself carefully with a pronated grip (palms facing forward). Tip: Your grip should be wider than shoulder width and it should create a 90-degree angle between the forearm and the upper arm as the barbell goes down. Once you pick up the barbell with the correct grip length, lift the bar up over your head by locking your arms. Hold at about shoulder level and slightly in front of your head. This is your starting position. Lower the bar down to the collarbone slowly as you inhale. Lift the bar back up to the starting position as you exhale. Repeat for the recommended amount of repetitions."
28,Romanian Deadlift from Deficit,Hamstrings,https://www.bodybuilding.com/exercises/exerciseImages/sequences/751/Male/l/751_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/751/Male/l/751_2.jpg,"Begin standing while holding a bar at armâ€™s length in front of you. You can stand on a raised platform to increase the range of motion. Begin by flexing the knees slightly, and then flex at the hip, moving your butt back as far as possible, lowering the torso as far as flexibility allows. The back should remain in absolute extension at all times, and the bar should remain in contact with the legs. If done properly, there should be heavy tension felt in the hamstrings. Reverse the motion to return to the starting position."
29,Pushups,Chest,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-102a-push-up-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-102a-push-up-m2-16x9.jpg,"Lie on the floor face down and place your hands about 36 inches apart while holding your torso up at arms length. Next, lower yourself downward until your chest almost touches the floor as you inhale. Now breathe out and press your upper body back up to the starting position while squeezing your chest. After a brief pause at the top contracted position, you can begin to lower yourself downward again for as many repetitions as needed."
30,Barbell walking lunge,Quadriceps,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-45b-barbell-walking-lunge-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-45b-barbell-walking-lunge-m2-16x9.jpg,"Begin standing with your feet shoulder width apart and a barbell across your upper back. Step forward with one leg, flexing the knees to drop your hips. Descend until your rear knee nearly touches the ground. Your posture should remain upright, and your front knee should stay above the front foot. Drive through the heel of your lead foot and extend both knees to raise yourself back up. Step forward with your rear foot, repeating the lunge on the opposite leg."
31,Spider crawl,Abdominals,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-197a-spider-crawl-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-197a-spider-crawl-m4-16x9.jpg,"Begin in a prone position on the floor. Support your weight on your hands and toes, with your feet together and your body straight. Your arms should be bent to 90 degrees. This will be your starting position. Initiate the movement by raising one foot off of the ground. Externally rotate the leg and bring the knee toward your elbow, as far forward as possible. Return this leg to the starting position and repeat on the opposite side."
32,Reverse-grip bent-over row,Middle Back,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-02b-reverse-grip-bent-over-row-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-02b-reverse-grip-bent-over-row-m2-16x9.jpg,"Stand erect while holding a barbell with a supinated grip (palms facing up). Bend your knees slightly and bring your torso forward, by bending at the waist, while keeping the back straight until it is almost parallel to the floor. Tip: Make sure that you keep the head up. The barbell should hang directly in front of you as your arms hang perpendicular to the floor and your torso. This is your starting position. While keeping the torso stationary, lift the barbell as you breathe out, keeping the elbows close to the body and not doing any force with the forearm other than holding the weights. On the top contracted position, squeeze the back muscles and hold for a second. Slowly lower the weight again to the starting position as you inhale. Repeat for the recommended amount of repetitions."
33,Close-grip bench press,Chest,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-82e-close-grip-bench-press-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-82e-close-grip-bench-press-m2-16x9.jpg,"Lie back on a flat bench. Using a close grip (around shoulder width), lift the bar from the rack and hold it straight over you with your arms locked. This will be your starting position. As you breathe in, come down slowly until you feel the bar on your middle chest. Tip: Make sure that - as opposed to a regular bench press - you keep the elbows close to the torso at all times in order to maximize triceps involvement. After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your triceps muscles. Lock your arms in the contracted position, hold for a second and then start coming down slowly again. Tip: It should take at least twice as long to go down than to come up. Repeat the movement for the prescribed amount of repetitions. When you are done, place the bar back in the rack."
34,Cocoons,Abdominals,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-170a-cocoon-crunch-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-170a-cocoon-crunch-m2-16x9.jpg,"Begin by lying on your back on the ground. Your legs should be straight and your arms extended behind your head. This will be your starting position. To perform the movement, tuck the knees toward your chest, rotating your pelvis to lift your glutes from the floor. As you do so, flex the spine, bringing your arms back over your head to perform a simultaneous crunch motion. After a brief pause, return to the starting position."
35,Cross-Body Crunch,Abdominals,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-176a-elbow-to-knee-crunch-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-176a-elbow-to-knee-crunch-m2-16x9.jpg,Lie flat on your back and bend your knees about 60 degrees. Keep your feet flat on the floor and place your hands loosely behind your head. This will be your starting position. Now curl up and bring your right elbow and shoulder across your body while bring your left knee in toward your left shoulder at the same time. Reach with your elbow and try to touch your knee. Exhale as you perform this movement. Tip: Try to bring your shoulder up towards your knee rather than just your elbow and remember that the key is to contract the abs as you perform the movement; not just to move the elbow. Now go back down to the starting position as you inhale and repeat with the left elbow and the right knee. Continue alternating in this manner until all prescribed repetitions are done.
36,Dumbbell Flyes,Chest,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-31e-dumbbell-chest-fly-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-31e-dumbbell-chest-fly-m2-16x9.jpg,"Lie down on a flat bench with a dumbbell on each hand resting on top of your thighs. The palms of your hand will be facing each other. Then using your thighs to help raise the dumbbells, lift the dumbbells one at a time so you can hold them in front of you at shoulder width with the palms of your hands facing each other. Raise the dumbbells up like you're pressing them, but stop and hold just before you lock out. This will be your starting position. With a slight bend on your elbows in order to prevent stress at the biceps tendon, lower your arms out at both sides in a wide arc until you feel a stretch on your chest. Breathe in as you perform this portion of the movement. Tip: Keep in mind that throughout the movement, the arms should remain stationary; the movement should only occur at the shoulder joint. Return your arms back to the starting position as you squeeze your chest muscles and breathe out. Tip: Make sure to use the same arc of motion used to lower the weights. Hold for a second at the contracted position and repeat the movement for the prescribed amount of repetitions."
37,Hammer Curls,Biceps,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-7d-hammer-curl-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-7d-hammer-curl-m2-16x9.jpg,"Stand up with your torso upright and a dumbbell on each hand being held at arms length. The elbows should be close to the torso. The palms of the hands should be facing your torso. This will be your starting position. Now, while holding your upper arm stationary, exhale and curl the weight forward while contracting the biceps. Continue to raise the weight until the biceps are fully contracted and the dumbbell is at shoulder level. Hold the contracted position for a brief moment as you squeeze the biceps. Tip: Focus on keeping the elbow stationary and only moving your forearm. After the brief pause, inhale and slowly begin the lower the dumbbells back down to the starting position. Repeat for the recommended amount of repetitions."
38,Incline dumbbell bench press,Chest,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-3n-incline-dumbbell-bench-press-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-3n-incline-dumbbell-bench-press-m2-16x9.jpg,"Lie back on an incline bench with a dumbbell in each hand atop your thighs. The palms of your hands will be facing each other. Then, using your thighs to help push the dumbbells up, lift the dumbbells one at a time so that you can hold them at shoulder width. Once you have the dumbbells raised to shoulder width, rotate your wrists forward so that the palms of your hands are facing away from you. This will be your starting position. Be sure to keep full control of the dumbbells at all times. Then breathe out and push the dumbbells up with your chest. Lock your arms at the top, hold for a second, and then start slowly lowering the weight. Tip Ideally, lowering the weights should take about twice as long as raising them. Repeat the movement for the prescribed amount of repetitions. When you are done, place the dumbbells back on your thighs and then on the floor. This is the safest manner to release the dumbbells."
39,Seated Dumbbell Press,Shoulders,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-50e-seated-dumbbell-shoulder-press-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-50e-seated-dumbbell-shoulder-press-m2-16x9.jpg,"Grab a couple of dumbbells and sit on a military press bench or a utility bench that has a back support on it as you place the dumbbells upright on top of your thighs. Clean the dumbbells up one at a time by using your thighs to bring the dumbbells up to shoulder height at each side. Rotate the wrists so that the palms of your hands are facing forward. This is your starting position. As you exhale, push the dumbbells up until they touch at the top. After a second pause, slowly come down back to the starting position as you inhale. Repeat for the recommended amount of repetitions."
40,Standing dumbbell shoulder press,Shoulders,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-104d-standing-dumbbell-shoulder-press-m1-16x9.jpg,https://www.bodybuilding.com/images/2020/xdb/originals/xdb-104d-standing-dumbbell-shoulder-press-m2-16x9.jpg,"Standing with your feet shoulder width apart, take a dumbbell in each hand. Raise the dumbbells to head height, the elbows out and about 90 degrees. This will be your starting position. Maintaining strict technique with no leg drive or leaning back, extend through the elbow to raise the weights together directly above your head. Pause, and slowly return the weight to the starting position."
